Название;Описание;Картинка;Цена;Пробег
            Honda Odyssey , 1996 ;"
                                    Минивэн / Бус,
                                                                правый руль,
                                        бензин,
                                        автомат,
                                                ";https://cars.kg/https://i.cars.kg/preview/r/OyiAJrnyW0rOzJ5YxL_DfA/1080x-/20220221/392bba00467240338e99073f91b423f3.jpg;277284;
            Honda Odyssey 2 поколение Минивэн , 2002 ;"
                                    Минивэн / Бус,
                                        черный,
                                        2.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/cfLF5Il7ISUyvR_IOGSfSA/1080x-/20220221/2bd2c29977e02f44ddeedbd56c3ec778.jpg;462000;244444 км
            Honda HR-V 1 поколение Кроссовер 3-дв. , 1999 ;"
                                    Внедорожник / Пикап,
                                        темно-синий,
                                        1.6 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/oRuw8Z3nCOpyDEiBjWuY5A/1080x-/20220220/694f16b787a0091873cf08e645af366b.jpg;445200;255757 км
            Honda Accord 7 поколение , 2003 ;"
                                    Седан,
                                        серебряный,
                                        2.0 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/TDQrvJOrCCy65Z-lF0i-sg/1080x-/20220220/6e3cf00699281f833f3348a8da067cd1.jpg;562800;230000 км
            Honda Stepwgn 3 поколение Минивэн , 2003 ;"
                                    Минивэн / Бус,
                                        белый жемчуг,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/mCj8LN3Bx6xATEEWOgJdjw/1080x-/20220220/0357d7e7f0dc966c22b6bf1905a6d0f1.jpg;672000;156000 км
            Honda Accord , 2006 ;"
                                    Седан,
                                        голубой,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/iMNKYa5uFAyParsjXdVtAA/1080x-/20220220/709b6906267208012e3e344129b40c53.jpg;646800;250000 км
            Honda CR-V 1 поколение [рестайлинг] Кроссовер , 2000 ;"
                                    Кроссовер,
                                                    2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/4dzdCFTaIy8fhSytxabI8w/1080x-/20220219/525ee82db1957871f5f18900ac1b8fe0.jpg;487200;141300 км
            Honda Odyssey 3 поколение Минивэн 5-дв. , 2005 ;"
                                    Минивэн / Бус,
                                        мокрый асфальт,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/dPoOTIW0I7447jpxabvCkw/1080x-/20220219/be68c653f26ec1c1c78548064d5ec71e.jpg;562800;240000 км
            Honda Accord 7 поколение Седан , 2003 ;"
                                    Седан,
                                        серебряный,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/Xe8LPYyY9a6WEwoKGu67-Q/1080x-/20220219/b42af9ff4e04a61b4dbf606817944811.jpg;604800;237 км
            Honda Accord 7 поколение , 2003 ;"
                                    Седан,
                                        дипломат,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/VWTlfM7zHFeXspcBIY5Ogg/1080x-/20220218/b8c8b4d3e3e634dee2cb377829582734.jpg;588000;
            Honda CR-V 3 поколение [рестайлинг] Кроссовер , 2011 ;"
                                    Кроссовер,
                                        черный,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                                ";https://cars.kg/https://i.cars.kg/preview/r/VfHNgrvwt0iO9bpE0F3Efg/1080x-/20220218/284e1813dc299df4ea450f4b188c1d04.jpg;1134000;130 км
            Honda Fit 3 поколение Хетчбэк , 2016 ;"
                                    Хэтчбек,
                                        белый,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/_OEllnNgsyKNwTlbPo7exg/1080x-/20220218/3f7555a4ce4ba20418941138e6f834ed.jpg;1066800;133000 км
            Honda Inspire 4 поколение , 2004 ;"
                                    Седан,
                                        белый жемчуг,
                                        3.0 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/fyVvfUEVqogBWxRO6YgdrQ/1080x-/20220218/3b7f60fae5e663501effd82122d0d179.jpeg;630000;215 км
            Honda Fit 1 поколение Хетчбэк , 2002 ;"
                                    Хэтчбек,
                                        белый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/mbaJbRvC0D9HqPR6jqFW3A/1080x-/20220217/311e81572c9bf9fce0e1571002345643.jpg;5460000;135000 км
            Honda Elysion 1 поколение , 2005 ;"
                                    Минивэн / Бус,
                                        черный,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/VBiUliwhi-HO5kDBCgvrFA/1080x-/20220217/92c29e214b167baf1e1267ed12a5e86f.jpeg;756000;218 км
            Honda Mobilio 1 поколение Минивэн , 2002 ;"
                                    Минивэн / Бус,
                                        синий,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/GUrBqX_6Epl0jnG0Qh0ZfQ/1080x-/20220216/435a12fb1370e6fb017e1f702c65e22b.jpg;529200;285663 км
            Honda Odyssey 3 поколение , 2004 ;"
                                    Минивэн / Бус,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/qbKib_7xS5GvfHC0o-M-Rw/1080x-/20220216/fe71f83cf0771085aeaeb3db2cfa3e93.jpeg;504000;400000 км
            Honda Accord 8 поколение Седан 4-дв. , 2010 ;"
                                    Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/RKqgxVt39PYfe__zaLsXtg/1080x-/20220216/a638ee61101cb99a1771b0b48e810215.jpg;898800;145000 км
            Honda Elysion 1 поколение [рестайлинг] Минивэн , 2006 ;"
                                    Минивэн / Бус,
                                        белый,
                                        3000 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/2zYtMWGB7PwsV5fUC5KvHg/1080x-/20220215/5baa044013c11904638459b5554f5f0c.jpg;924000;204800 км
            Honda Stream 1 поколение Минивэн , 2002 ;"
                                    Минивэн / Бус,
                                        серебряный,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";https://cars.kg/https://i.cars.kg/preview/r/XUH7s8J-b-idMAnFzN7xMw/1080x-/20220215/7d893d459b622321606cd270b456dd03.jpg;445200;2882 км
